title,slug,active_installs,relevance,review_count,avg_rating
Genesis Featured Video,featured-videos-for-genesis,600,1,3,5
"Easy Lightbox &#8211; Best Image, Gallery and Video Lightbox for WordPress",easy-lightbox-wp,2000,1,7,4
Video Lessons Manager,cm-video-lesson-manager,200,1,4,4
Custom Feeds for Instagram,instagram-feed,800000,0,2348,4.9
MailPoet &#8211; emails and newsletters in WordPress,mailpoet,100000,0,534,4.5
video carousel slider with lightbox,wp-responsive-video-gallery-with-lightbox,1000,1,3,3.7
Paid Memberships Pro,paid-memberships-pro,80000,0,323,4.2
Photo Gallery &#8211; Image Gallery by Ape,gallery-images-ape,6000,0,93,4.3
Media Slider &#8211; Image Video Carousal Link Slideshow,media-slider,1000,1,17,5
WP YouTube Lyte,wp-youtube-lyte,20000,0,99,4.8
Ductile Responsive Video,ductile-responsive-video,400,1,6,4.8
WP Video Gallery,wp-video-gallery-free,1000,1,13,3.6
Super Video Player &#8211; Best wordpress video player,super-video-player,300,1,10,5
Brightcove Video Connect,brightcove-video-connect,1000,1,5,3.4
Video Dashboard,video-dashboard,800,1,3,5
Embed Video Thumbnail,embed-video-thumbnail,800,1,9,3.9
WordPress Page Builder &#8211; Beaver Builder,beaver-builder-lite-version,500000,0,310,4.8
Switch Video Quality,switch-video-quality,300,1,7,5
Livemesh Addons for Elementor,addons-for-elementor,60000,0,75,4.8
Coming Soon Page &amp; Maintenance Mode by SeedProd,coming-soon,900000,0,3791,5
Interactive Content – H5P,h5p,10000,0,34,5
Image and video gallery from Google Drive,skaut-google-drive-gallery,1000,1,13,4.5
VideoWhisper Video Presentation,videowhisper-video-presentation,200,1,10,4.5
SEOPress,wp-seopress,60000,0,392,4.9
Stackable &#8211; Gutenberg Blocks,stackable-ultimate-gutenberg-blocks,10000,0,151,4.9
"Image and Video Lightbox, Lightbox PopUp",lightbox-popup,3000,1,9,3.2
Brid Video Easy Publish,brid-video-easy-publish,300,1,5,4.2
Porn Videos Embed,porn-videos-embed,400,1,3,3.7
"Popup Maker &#8211; Popup Forms, Optins &amp; More",popup-maker,300000,0,3156,4.9
Advanced Classifieds &amp; Directory Pro,advanced-classifieds-and-directory-pro,4000,0,66,4.7
Postie,postie,20000,0,105,4.7
Insert Pages,insert-pages,30000,0,49,4.8
Import any XML or CSV File to WordPress,wp-all-import,100000,0,1249,4.7
10Web Social Feed for Instagram,wd-instagram-feed,80000,0,293,4.8
Product Catalog,ultimate-product-catalogue,10000,0,142,4.6
"WPSSO Core &#8211; Advanced Open Graph, Rich Pin, Twitter Card, Social Meta Tags, SEO Rich Results, Schema Markup",wpsso,10000,0,206,4.6
The Events Calendar,the-events-calendar,700000,0,1667,4.4
GDPR Cookie Compliance,gdpr-cookie-compliance,70000,0,67,4.4
"WpDevArt YouTube Embed, Playlist and Popup",youtube-video-player,10000,0,35,3.5
Webcam Video Conference,videowhisper-video-conference-integration,700,1,14,4.5
BulletProof Security,bulletproof-security,70000,0,485,4.8
Tinychat Video Chat,tc-video-chat,70,1,0,0
Slide Anything &#8211; Responsive Content / HTML Slider and Carousel,slide-anything,70000,0,90,4.6
Clappr Video Player,embed-clappr,400,1,3,3.3
Kadence WooCommerce Email Designer,kadence-woocommerce-email-designer,10000,0,41,4.8
