title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
SportsPress &#8211; Sports Club &amp; League Manager,sportspress,20.39,9.9,20000,0,0,5.69,295,4.8,4.8
Simple Membership,simple-membership,20.36,10.6,40000,0,0,5.36,213,4.4,4.4
Contact Widgets,contact-widgets,20.29,13.12,500000,0,0,2.56,13,4.6,4.6
Livemesh Addons for Elementor,addons-for-elementor,20.12,11.0,60000,0,0,4.32,75,4.8,4.8
WP Hide &amp; Security Enhancer,wp-hide-security-enhancer,20.05,10.82,50000,0,0,4.93,139,4.3,4.3
WP ULike,wp-ulike,20.04,9.9,20000,0,0,5.24,188,4.9,4.9
Under Construction / Maintenance Mode from Acurax,coming-soon-maintenance-mode-from-acurax,20.03,10.6,40000,0,0,4.74,114,4.7,4.7
Import users from CSV with meta,import-users-from-csv-with-meta,19.98,10.31,30000,0,0,4.87,130,4.8,4.8
Social Media Widget by Acurax,acurax-social-media-widget,19.98,9.9,20000,0,0,5.48,239,4.6,4.6
WPBruiser {no- Captcha anti-Spam},goodbye-captcha,19.97,9.9,20000,0,0,5.16,175,4.9,4.9
wpForo Forum,wpforo,19.93,9.9,20000,0,0,5.23,187,4.8,4.8
Connections Business Directory,connections,19.91,9.21,10000,0,0,5.8,331,4.9,4.9
"Dokan &#8211; Best WooCommerce Multivendor Marketplace Solution &#8211; Build Your Own Amazon, eBay, Etsy",dokan-lite,19.84,9.9,20000,0,0,5.44,230,4.5,4.5
Social Media Widget,social-media-widget,19.82,11.51,100000,0,0,4.41,82,3.9,3.9
Kraken.io Image Optimizer,kraken-image-optimizer,19.76,10.31,30000,0,0,4.75,116,4.7,4.7
Simple Local Avatars,simple-local-avatars,19.72,11.29,80000,0,0,3.83,46,4.6,4.6
Instagram Slider Widget,instagram-slider-widget,19.72,11.51,100000,0,0,4.01,55,4.2,4.2
Activity Log,aryo-activity-log,19.7,11.51,100000,0,0,3.99,54,4.2,4.2
Social Count Plus,social-count-plus,19.69,10.31,30000,0,0,4.68,108,4.7,4.7
Site Offline Or Coming Soon Or Maintenance Mode,site-offline,19.65,9.9,20000,0,0,4.94,140,4.8,4.8
Lightweight Social Icons,lightweight-social-icons,19.65,10.82,50000,0,0,3.93,51,4.9,4.9
Google Authenticator &#8211; WordPress Two Factor Authentication (2FA),miniorange-2-factor-authentication,19.65,9.9,20000,0,0,5.25,190,4.5,4.5
Better Notifications for WordPress,bnfw,19.56,9.9,20000,0,0,4.85,128,4.8,4.8
Disqus Comment System,disqus-comment-system,19.53,11.51,100000,0,0,5.22,185,2.8,2.8
Social Login,oa-social-login,19.51,9.9,20000,0,0,5.51,247,4.1,4.1
RegistrationMagic &#8211; Custom Registration Forms and User Login,custom-registration-form-builder-with-submission-manager,19.49,9.21,10000,0,0,5.78,324,4.5,4.5
Remove Dashboard Access,remove-dashboard-access-for-non-admins,19.46,10.6,40000,0,0,4.06,58,4.8,4.8
"WP User Frontend &#8211; Membership, Profile, Registration &amp; Post Submission Plugin for WordPress",wp-user-frontend,19.42,9.9,20000,0,0,5.52,249,4.0,4.0
AWPCP &#8211; Classifieds Plugin,another-wordpress-classifieds-plugin,19.4,9.21,10000,0,0,5.59,267,4.6,4.6
Livemesh SiteOrigin Widgets,livemesh-siteorigin-widgets,19.37,10.31,30000,0,0,4.36,78,4.7,4.7
